,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
802,225709,0.716,0.916,7,-1.994,0,0.0799,0.0732,0,0.379,0.66,118.033,225709,4
803,183787,0.692,0.946,7,-1.039,1,0.0587,0.0635,5.45E-05,0.186,0.535,129.079,183787,4
804,181625,0.456,0.702,4,-6.183,1,0.0956,0.175,0,0.24,0.728,200.015,181625,4
805,184493,0.686,0.637,1,-5.003,1,0.0394,0.0287,0,0.663,0.416,129.994,184493,4
806,306520,0.432,0.622,4,-4.007,1,0.0304,0.383,0,0.139,0.304,75.193,306520,4
807,202924,0.673,0.791,0,-3.824,1,0.188,0.162,0,0.147,0.65,100.064,202925,4
808,271839,0.347,0.52,6,-6.027,1,0.0292,0.587,0,0.0996,0.229,136.311,271840,4
809,223013,0.723,0.891,6,-3.032,0,0.0569,0.112,0,0.132,0.725,104.999,223013,4
810,219319,0.404,0.679,6,-4.391,1,0.0368,0.0175,0.000112,0.215,0.282,174.039,219320,4
811,209373,0.743,0.829,5,-2.175,0,0.0404,0.0378,6.20E-06,0.38,0.354,113.979,209373,4
812,190746,0.643,0.775,0,-3.344,0,0.0556,0.143,0,0.133,0.7,92.033,190747,4
813,228906,0.528,0.541,1,-5.027,1,0.0272,0.64,0,0.165,0.351,133.94,228907,4
814,228426,0.411,0.588,4,-7.347,1,0.0362,0.246,0.000598,0.335,0.299,179.261,228427,4
815,279066,0.495,0.491,7,-7.214,1,0.0302,0.461,1.13E-05,0.139,0.24,138.027,279066,4
816,259829,0.507,0.364,1,-8.077,1,0.0284,0.546,0.00273,0.093,0.212,121.935,259830,4
817,268813,0.496,0.546,1,-6.384,1,0.0396,0.582,0,0.0916,0.344,137.864,268813,4
818,202666,0.55,0.807,11,-3.852,1,0.041,0.229,6.04E-06,0.297,0.498,142.01,202667,4
819,249793,0.471,0.532,10,-6.073,1,0.03,0.549,0,0.152,0.294,133.811,249793,4
820,192292,0.59,0.182,4,-14.803,1,0.0354,0.821,0.0526,0.118,0.394,74.612,192292,4
821,209808,0.553,0.889,2,-3.387,1,0.241,0.622,0,0.0851,0.742,99.329,209808,4
822,226168,0.63,0.477,4,-8.508,1,0.0248,0.539,0.000226,0.118,0.192,100.012,226169,4
823,133900,0.291,0.17,2,-10.678,1,0.0332,0.978,3.88E-05,0.0793,0.313,104.814,133901,5
824,196049,0.736,0.712,5,-5.068,0,0.0339,0.0869,0,0.124,0.636,100.987,196049,4
825,275502,0.566,0.0976,7,-11.58,0,0.0453,0.986,0.0169,0.11,0.202,111.309,275502,3
826,241353,0.647,0.768,0,-4.757,1,0.0385,0.639,0,0.0868,0.351,96.952,241353,4
827,212333,0.587,0.521,11,-7.667,1,0.0299,0.493,0,0.125,0.501,172.017,212334,4
828,226168,0.623,0.461,4,-11.593,1,0.0311,0.302,0.789,0.118,0.173,99.988,226169,4
829,196049,0.763,0.572,0,-8.047,0,0.0251,0.00021,0.86,0.099,0.424,100.996,196049,4
830,314531,0.318,0.335,2,-5.808,0,0.0325,0.833,0,0.124,0.0518,139.145,314532,4
831,349849,0.319,0.478,9,-4.807,1,0.0348,0.771,0,0.122,0.243,131.739,349850,4
