,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1530,217026,0.586,0.404,9,-11.94,0,0.0494,0.506,0.165,0.0821,0.369,133.901,217027,4
1531,188964,0.746,0.647,7,-6.673,1,0.106,0.0267,0,0.052,0.393,97.989,188964,4
1532,216419,0.506,0.693,0,-7.265,0,0.0412,0.584,0.0000958,0.0891,0.221,139.912,216420,4
1533,163000,0.648,0.753,1,-5.539,1,0.0527,0.0287,0,0.0651,0.454,125.073,163000,4
1534,160714,0.534,0.696,9,-5.211,0,0.0694,0.316,0,0.248,0.251,168.149,160714,4
1535,159480,0.714,0.697,1,-7.887,0,0.032,0.0197,0.000002,0.0697,0.602,122.145,159480,4
1536,229813,0.68,0.942,9,-4.208,1,0.0631,0.175,0.0013,0.117,0.647,123.976,229813,4
1537,165440,0.609,0.885,0,-5.469,1,0.0642,0.00521,0.0000115,0.336,0.76,124.959,165441,4
1538,225172,0.516,0.915,7,-2.498,1,0.0562,0.0228,0.000789,0.125,0.0398,174.032,225172,4
1539,238426,0.736,0.761,4,-5.449,0,0.0338,0.0966,0,0.0823,0.114,119.999,238427,4
1540,192133,0.64,0.66,6,-4.732,1,0.0615,0.489,0.000516,0.142,0.534,95.902,192133,4
1541,147201,0.882,0.802,11,-4.835,0,0.0927,0.147,0.000571,0.071,0.706,135.076,147202,4
1542,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1543,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1544,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1545,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1546,179339,0.727,0.838,9,-2.435,1,0.0472,0.297,0,0.0603,0.933,145.995,179339,4
1547,176859,0.552,0.531,7,-7.732,1,0.0421,0.241,0.0000121,0.122,0.438,144.946,176859,4
1548,148470,0.64,0.553,2,-6.42,0,0.0411,0.0579,0,0.0914,0.486,81.992,148471,4
1549,184963,0.494,0.348,9,-9.791,0,0.03,0.652,0.0000107,0.0859,0.134,104.923,184963,3
1550,155586,0.575,0.571,11,-9.291,0,0.101,0.597,0.000159,0.108,0.0614,110.993,155587,4
1551,164842,0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108,164842,4
1552,189173,0.421,0.821,1,-2.783,1,0.0372,0.00971,0,0.1,0.594,91.245,189173,4
1553,177813,0.79,0.701,9,-4.81,1,0.365,0.0317,0.0000806,0.0311,0.91,159.972,177813,4
1554,162600,0.296,0.925,1,-0.783,1,0.0767,0.00128,0.000315,0.0797,0.607,204.111,162600,4
1555,228858,0.573,0.727,0,-7.616,1,0.0664,0.132,0.0584,0.192,0.22,150.034,228858,4
1556,133560,0.704,0.478,9,-6.562,1,0.047,0.771,0.000516,0.0875,0.42,128.789,133560,4
1557,247100,0.744,0.677,7,-4.819,0,0.108,0.0388,0,0.106,0.57,140.991,247100,4
1558,167810,0.574,0.791,1,-3.752,1,0.11,0.419,0,0.0982,0.612,119.537,167810,4
1559,177139,0.767,0.543,1,-7.881,0,0.103,0.049,0,0.115,0.485,106.029,177140,4
1560,221904,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,221904,4
1561,178309,0.398,0.956,2,-4.429,1,0.329,0.00935,0.0038,0.142,0.269,106.581,178310,4
1562,194831,0.539,0.884,2,-2.526,1,0.0506,0.0205,0.0000145,0.126,0.111,174.042,194831,4
1563,191120,0.475,0.846,10,-3.344,1,0.283,0.275,0,0.0824,0.451,96.036,191120,4
1564,118153,0.914,0.696,11,-4.482,0,0.134,0.00225,0.0000797,0.0979,0.572,130.028,118154,4
1565,172500,0.649,0.95,6,-3.791,1,0.0307,0.000302,0.103,0.115,0.431,127.987,172500,4
1566,212573,0.879,0.665,11,-6.082,0,0.145,0.164,0,0.319,0.672,123.977,212573,4
1567,134570,0.738,0.794,3,-3.971,0,0.034,0.0135,0.00123,0.0578,0.808,131.977,134570,4
1568,175665,0.602,0.713,2,-4.002,0,0.0699,0.0825,0,0.124,0.436,164.046,175666,4
1569,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1570,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1571,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1572,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1573,217653,0.837,0.784,7,-4.531,0,0.101,0.175,0,0.0897,0.748,94.036,217653,4
1574,258600,0.743,0.709,3,-3.922,0,0.0879,0.0451,0.00000518,0.0809,0.831,170.001,258600,4
1575,225520,0.567,0.73,9,-6.748,0,0.213,0.353,0.00000173,0.154,0.525,87.237,225520,4
1576,156318,0.688,0.712,10,-4.791,0,0.0826,0.0288,0,0.313,0.852,89.93,156319,4
1577,218800,0.704,0.604,5,-5.254,1,0.0556,0.067,0,0.126,0.642,90.028,218801,4
1578,168668,0.582,0.585,2,-7.679,1,0.0675,0.0991,0,0.148,0.102,129.91,168668,4
1579,153099,0.722,0.75,8,-4.051,1,0.0445,0.00768,0,0.128,0.57,139.019,153100,4
1580,208330,0.703,0.736,4,-5.709,0,0.046,0.186,0.0000192,0.174,0.274,119.955,208330,4
1581,193333,0.575,0.844,3,-1.772,0,0.0633,0.226,0,0.0538,0.542,87.007,193333,4
1582,246796,0.448,0.434,0,-8.483,1,0.0677,0.546,0,0.0985,0.478,158.616,246796,4
1583,206974,0.609,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818,206975,4
1584,181676,0.774,0.513,0,-8.159,1,0.342,0.32,0.000105,0.0866,0.51,102.78,181676,4
1585,200133,0.414,0.314,1,-12.943,0,0.0548,0.25,0.0000147,0.117,0.09,84.993,200133,4
1586,242827,0.535,0.8,2,-4.569,0,0.0342,0.0183,0,0.421,0.175,113.023,242828,4
1587,198973,0.809,0.547,9,-7.305,1,0.0614,0.452,0,0.054,0.718,94.992,198973,4
1588,169866,0.659,0.911,4,-2.28,1,0.0786,0.154,0.000304,0.191,0.576,91.999,169866,4
1589,176500,0.743,0.893,1,-5.261,1,0.129,0.00284,0.000369,0.113,0.369,130.072,176500,4
1590,185743,0.778,0.714,6,-3.927,1,0.0631,0.0257,0.0000282,0.0523,0.43,128.036,185744,4
1591,169466,0.567,0.765,1,-4.107,0,0.108,0.317,0,0.14,0.541,121.924,169467,4
1592,153817,0.668,0.947,0,-3.346,0,0.0569,0.0656,0.000904,0.0794,0.449,136.044,153817,4
1593,469480,0.327,0.637,4,-6.603,1,0.034,0.0395,0,0.198,0.123,147.853,469480,4
1594,207680,0.689,0.808,0,-3.28,1,0.0572,0.0721,0,0.241,0.674,91.012,207680,4
1595,221773,0.757,0.838,0,-3.579,1,0.0285,0.281,0,0.331,0.916,140.008,221773,4
1596,206920,0.798,0.809,5,-6.152,1,0.0839,0.0317,0,0.214,0.471,90.006,206920,4
1597,201526,0.792,0.895,1,-3.112,0,0.0587,0.165,0,0.0501,0.793,94.968,201526,4
1598,211791,0.587,0.509,5,-6.154,0,0.0527,0.268,0,0.11,0.216,166.981,211792,4
1599,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1600,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1601,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1602,162066,0.693,0.808,4,-6.231,0,0.093,0.0506,0.00000118,0.578,0.547,127.945,162067,4
1603,193792,0.697,0.775,8,-6.664,1,0.083,0.0318,0,0.232,0.826,113.886,193792,4
1604,194416,0.462,0.632,6,-6.448,1,0.0365,0.0227,0.00000305,0.344,0.395,169.841,194417,4
1605,149803,0.642,0.214,3,-9.25,1,0.198,0.909,0,0.122,0.38,80.444,149803,4
1606,135706,0.568,0.199,9,-9.601,1,0.101,0.905,0,0.131,0.329,83.827,135707,5
1607,209970,0.75,0.829,1,-4.942,1,0.0915,0.21,0,0.279,0.87,115.894,209971,4
1608,214093,0.612,0.423,5,-8.062,0,0.0508,0.588,0,0.117,0.18,135.841,214093,5
1609,255065,0.429,0.4,5,-11.679,0,0.0882,0.629,0.0000325,0.087,0.357,72.487,255066,4
1610,199209,0.606,0.24,3,-7.102,1,0.0369,0.772,0,0.0819,0.526,96.792,199210,4
1611,210901,0.693,0.564,1,-3.857,0,0.0378,0.399,0,0.0409,0.574,185.913,210901,3
1612,259741,0.773,0.86,7,-4.966,1,0.13,0.0159,0,0.236,0.715,126.967,259742,4
1613,208634,0.764,0.943,8,-4.047,1,0.0711,0.00784,0.104,0.0699,0.207,129.961,208635,4
1614,203133,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,203133,4
1615,202213,0.68,0.85,10,-2.785,1,0.0661,0.207,0.00000198,0.339,0.71,124.942,202213,4
1616,180160,0.853,0.571,1,-5.845,1,0.0543,0.133,0,0.0564,0.958,117.991,180160,4
1617,199773,0.694,0.853,7,-3.986,1,0.0934,0.136,0,0.322,0.501,106.098,199773,4
1618,150000,0.963,0.516,7,-4.001,1,0.293,0.117,0.000125,0.127,0.655,127.995,150000,4
1619,144391,0.859,0.558,7,-8.991,0,0.0902,0.659,0.324,0.124,0.357,114.978,144391,4
