,Duration (ms),Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_Signature
1611,203186,0.745,0.836,5,-4.336,0,0.0444,0.145,0.00314,0.116,0.874,96.993,203187,4
1612,256519,0.78,0.731,9,-4.003,0,0.162,0.3,0.00000245,0.0981,0.338,100.044,256520,4
1613,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1614,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1615,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1616,190160,0.788,0.745,11,-4.417,0,0.0448,0.352,0.0000456,0.0973,0.79,94.002,190160,4
1617,177680,0.914,0.643,8,-6.543,1,0.0796,0.201,0.000334,0.0885,0.913,110.026,177680,4
1618,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1619,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1620,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1621,188333,0.782,0.666,5,-5.085,1,0.0514,0.139,0,0.315,0.801,90.043,188333,4
1622,232549,0.814,0.813,2,-3.023,0,0.0561,0.03,0.0000933,0.255,0.839,79.997,232550,4
1623,229333,0.735,0.712,11,-5.119,0,0.0326,0.732,0,0.302,0.894,131.938,229333,4
1624,217653,0.837,0.784,7,-4.531,0,0.101,0.175,0,0.0897,0.748,94.036,217653,4
1625,258600,0.743,0.709,3,-3.922,0,0.0879,0.0451,0.00000518,0.0809,0.831,170.001,258600,4
1626,225520,0.567,0.73,9,-6.748,0,0.213,0.353,0.00000173,0.154,0.525,87.237,225520,4
1627,221773,0.757,0.838,0,-3.579,1,0.0285,0.281,0,0.331,0.916,140.008,221773,4
1628,200706,0.909,0.785,5,-3.648,0,0.0637,0.248,0.00000355,0.228,0.903,96.984,200707,4
1629,190697,0.678,0.728,5,-4.007,1,0.0825,0.269,0,0.26,0.897,185.838,190698,4
1630,233519,0.627,0.839,6,-4.688,0,0.0989,0.00721,0.0000224,0.712,0.747,184.073,233520,4
1631,169895,0.494,0.317,6,-7.113,1,0.0298,0.728,0,0.173,0.483,79.535,169896,3
1632,177791,0.724,0.443,7,-3.743,1,0.0329,0.73,0,0.101,0.763,97.194,177791,4
